Date, Open, High, Low, Close, Total Volume, UnAdjusted Close
19840208,805.00000000,805.00000000,805.00000000,805.00000000,       0,805.00000000
19840209,801.30000000,801.30000000,801.30000000,801.30000000,       0,801.30000000
19840210,805.40000000,805.40000000,805.40000000,805.40000000,       0,805.40000000
19840213,803.00000000,803.00000000,803.00000000,803.00000000,       0,803.00000000
19840214,812.10000000,812.10000000,812.10000000,812.10000000,       0,812.10000000
19840215,816.60000000,816.60000000,816.60000000,816.60000000,       0,816.60000000
19840216,817.90000000,817.90000000,817.90000000,817.90000000,       0,817.90000000
19840217,816.20000000,816.20000000,816.20000000,816.20000000,       0,816.20000000
19840220,812.50000000,812.50000000,812.50000000,812.50000000,       0,812.50000000
19840221,819.30000000,819.30000000,819.30000000,819.30000000,       0,819.30000000
19840222,816.40000000,816.40000000,816.40000000,816.40000000,       0,816.40000000
19840223,806.90000000,806.90000000,806.90000000,806.90000000,       0,806.90000000
19840224,815.80000000,815.80000000,815.80000000,815.80000000,       0,815.80000000
19840227,819.10000000,819.10000000,819.10000000,819.10000000,       0,819.10000000
19840228,819.10000000,819.10000000,819.10000000,819.10000000,       0,819.10000000
19840229,819.80000000,819.80000000,819.80000000,819.80000000,       0,819.80000000
19840301,828.30000000,828.30000000,828.30000000,828.30000000,       0,828.30000000
19840302,838.90000000,838.90000000,838.90000000,838.90000000,       0,838.90000000
19840305,832.60000000,832.60000000,832.60000000,832.60000000,       0,832.60000000
19840306,841.60000000,841.60000000,841.60000000,841.60000000,       0,841.60000000
19840307,835.40000000,835.40000000,835.40000000,835.40000000,       0,835.40000000
19840308,837.70000000,837.70000000,837.70000000,837.70000000,       0,837.70000000
19840309,840.90000000,840.90000000,840.90000000,840.90000000,       0,840.90000000
19840312,844.10000000,844.10000000,844.10000000,844.10000000,       0,844.10000000
19840313,865.00000000,865.00000000,865.00000000,865.00000000,       0,865.00000000
19840314,864.60000000,864.60000000,864.60000000,864.60000000,       0,864.60000000
19840315,875.60000000,875.60000000,875.60000000,875.60000000,       0,875.60000000
19840316,894.30000000,894.30000000,894.30000000,894.30000000,       0,894.30000000
